smiles NumRings NumAromaticCarbocycles NumAromaticRings NumAliphaticRings NumAromaticHeterocycles NumHeteroatoms NumSaturatedHeterocycles NumSaturatedCarbocycles NumSaturatedRings NOCount
O=C(O)CC(NC(=O)CNC(=O)c1cnc(NC(=O)NCc2ccccc2)o1)c1cc(Cl)cc(Cl)c1 3 2 3 0 1 13 0 0 0 11
CCC(CN(C)S(C)(=O)=O)N1C(=O)[C@](C)(CC(=N)O)C[C@@H](c2cccc(Cl)c2)[C@@H]1c1ccc(Cl)cc1 3 2 2 1 0 10 1 0 1 7
CN1CCN(C(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccc3cccnc23)CC1 4 2 3 1 1 8 1 0 1 7
N=C(N)Nc1cccc(C(=O)Nc2ccc(/C=C/C(=O)O)cc2Cl)c1 2 2 2 0 0 8 0 0 0 7
CCOC(=O)C1CCCN(c2nc3ccccc3nc2C(C#N)C(=O)OCC)C1 3 1 2 1 1 8 1 0 1 8
O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1 3 1 1 2 0 8 1 0 1 5
N#Cc1c(N)n(CCc2ccc(F)cc2)c2nc3ccccc3nc12 4 2 4 0 2 6 0 0 0 5
O=c1c(-c2ccccc2)coc2cc(O)cc(O)c12 3 2 3 0 1 4 0 0 0 4
CNC(=O)c1scc2c1OCCO2 2 0 1 1 1 5 0 0 0 4
O=C(O)CCNC(=O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1 4 3 3 1 0 11 0 0 0 8
COc1ccccc1N1CCN(C(=O)C2(Oc3ccc(C(F)(F)F)cc3)CCCN(C(=O)c3cnccc3C(F)(F)F)C2)CC1.Cl 5 2 3 2 1 15 2 0 2 8
CCOC(=O)C1=C(C)NC(=S)NC1c1cccc(O)c1 2 1 1 1 0 6 0 0 0 5
O=C(Nc1ccc2nc3ccccc3nc2c1)c1ccccc1 4 3 4 0 1 4 0 0 0 4
COc1cccc(Cn2c(=O)oc3cc(C)ccc32)c1 3 2 3 0 1 4 0 0 0 4
COC(=O)C1=C(O)/C(=C\c2ccc(CNC(=O)C(=O)Nc3ccc(C)cc3)o2)N=C1C 3 1 2 1 1 9 0 0 0 9
